;;;;;PROVISIONAL REGISTRATIONS OR SALES OF NEW VEHICLES - ALL TYPES;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;Estimated figures;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
LAOS;;;;1.100;1.150;1.800;2.600;4.000;5.000;5.000;7.000;9.000;14.700;14.600;10.900;9.785;;;
LEBANON;;;;16.000;16.000;21.000;34.000;34.500;35.500;33.500;37.500;37.500;40.300;40.700;37.800;38.363;;;
MALAYSIA;;;;551.042;490.748;487.176;548.115;536.905;605.156;600.123;627.753;655.793;666.487;666.677;580.124;591.096;;;
MONGOLIA;;;;800;1.300;1.700;3.750;3.600;3.300;3.290;2.290;2.200;1.600;1.000;1.700;1.655;;;
MYANMAR;;;;2.000;2.000;2.000;2.200;2.500;2.800;2.800;3.100;3.000;1.800;1.800;2.300;3.344;;;
NEPAL;;;;1.400;1.500;2.600;2.300;3.000;2.000;4.000;5.600;5.500;8.300;5.900;9.300;3.670;;;
NEW CALEDONIA;;;;10.670;11.298;12.460;12.684;12.215;12.772;12.826;11.987;10.888;10.910;9.974;9.279;10.294;;;
NEW ZEALAND;;;;117.426;112.211;115.041;106.190;73.202;83.250;84.143;100.795;113.294;126.508;134.041;146.753;159.872;;;
OMAN;;;;207.100;204.600;203.900;198.500;155.500;178.000;169.500;204.500;215.000;208.400;167.600;154.900;131.149;;;
PAKISTAN;;;;167.007;187.644;188.109;157.182;111.696;152.354;163.260;157.656;141.778;146.882;229.688;211.295;269.049;;;
PALESTINE;;;;16.600;18.600;19.700;22.900;20.600;21.900;24.700;36.600;35.800;35.800;35.800;35.800;36.454;;;
PHILIPPINES;;;;97.063;99.541;117.903;124.449;132.444;170.348;165.056;184.248;211.959;234.747;288.609;359.572;358.558;;;
QATAR;;;;84.500;83.400;83.100;81.000;55.000;55.500;61.000;80.000;85.000;92.900;86.400;63.700;49.767;;;
SAUDI ARABIA;;;;562.900;556.100;554.400;540.000;520.000;600.000;590.000;705.000;740.000;828.200;830.100;655.500;548.250;;;
SINGAPORE;;;;125.018;132.483;122.254;110.574;79.503;51.891;39.570;37.247;34.111;44.776;76.191;108.061;110.907;;;
SOUTH KOREA;;;;1.145.230;1.176.919;1.278.624;1.246.086;1.461.865;1.511.373;1.586.405;1.532.087;1.543.564;1.661.868;1.833.786;1.823.041;1.798.796;;;
SRI LANKA;;;;4.000;4.200;4.700;4.800;5.000;3.000;8.000;9.500;12.000;15.500;17.000;34.900;16.006;;;
SYRIA;;;;39.985;51.467;41.500;46.800;51.600;87.547;39.960;44.000;43.100;39.700;39.700;39.700;40.034;;;
TAJIKISTAN;;;;5.440;5.850;5.990;6.200;7.200;6.700;7.710;6.300;6.290;6.400;6.400;2.300;2.316;;;
TAHITI;;;;7.300;7.100;7.700;7.200;5.200;5.500;5.000;4.000;3.500;3.900;3.400;3.800;5.232;;;
TAIWAN;;;;446.477;306.458;276.434;178.809;229.450;252.500;285.790;270.078;258.753;282.130;262.593;262.346;259.013;;;
THAILAND;;;;692.506;674.953;631.181;615.270;548.870;800.357;794.081;1.423.580;1.330.672;881.832;799.632;768.788;873.506;;;
TURKMENISTAN;;;;4.000;4.300;4.420;4.700;4.700;4.700;5.200;4.700;4.700;4.800;4.800;5.000;5.016;;;
UNITED ARAB EMIRATES;;;;157.000;175.000;165.000;233.592;205.088;168.323;243.982;268.900;263.100;263.100;256.700;198.500;194.382;;;
UZBEKISTAN;;;;35.200;38.100;40.800;56.500;59.000;56.500;62.000;57.000;57.500;58.100;58.100;56.300;58.968;;;
VIETNAM;;;;35.264;41.133;81.056;111.950;119.459;112.224;110.938;80.487;96.692;134.562;208.566;271.833;269.570;;;
YEMEN;;;;9.100;10.800;10.700;11.000;11.000;4.000;4.000;4.100;4.000;4.600;5.600;3.600;4.950;;;
;;;;;;;;;;;;;;;;;;;
AFRICA;;;;1.113.017;1.314.275;1.321.974;1.255.851;1.158.774;1.251.221;1.446.927;1.569.463;1.653.587;1.717.921;1.577.535;1.315.163;1.195.765;;;
ALGERIA;;;;99.422;109.578;127.030;146.892;176.773;133.406;227.925;255.167;304.854;292.100;243.379;99.600;94.408;;;
ANGOLA;;;;9.000;12.000;5.500;5.500;15.000;30.000;15.000;28.000;29.000;35.700;18.000;7.300;4.230;;;
BOTSWANA;;;;4.200;3.600;5.200;7.100;7.000;6.000;6.200;6.600;6.900;7.400;7.500;8.100;7.600;;;
BURKINA FASO;;;;700;700;700;900;1.050;1.100;1.500;800;1.100;900;1.400;2.300;1.027;;;
BURUNDI;;;;1.000;1.000;1.100;1.000;1.000;600;500;510;530;400;400;900;130;;;
CAMEROON;;;;3.500;4.100;4.000;3.800;2.600;2.900;2.900;3.400;4.400;4.400;4.200;4.200;3.765;;;
CONGO KINSHASA ;;;;1.090;1.260;1.110;1.300;3.500;2.500;2.500;3.000;2.400;2.400;3.100;2.300;1.849;;;
EGYPT;;;;121.437;170.614;206.060;239.833;205.521;248.917;271.900;286.300;283.000;349.100;332.100;264.100;181.001;;;
GABON;;;;3.800;4.000;4.200;4.000;4.000;4.000;4.000;5.500;5.500;4.900;3.300;3.000;2.565;;;
GHANA;;;;4.500;4.500;5.100;5.500;6.500;6.000;9.000;14.500;13.600;13.000;4.800;7.400;4.217;;;
IVORY COAST;;;;3.000;3.500;4.000;4.000;4.500;5.500;5.500;7.500;6.000;6.400;7.100;6.400;7.118;;;
KENYA;;;;6.000;5.000;7.000;7.000;7.500;6.000;6.000;9.500;13.000;13.500;14.100;10.600;11.886;;;
LIBERIA;;;;400;300;400;500;300;500;400;410;430;400;400;600;132;;;
LIBYA;;;;47.000;48.000;49.500;51.500;53.000;54.500;56.500;29.000;45.000;45.000;54.100;46.400;23.600;;;
MADAGASCAR;;;;2.630;3.100;3.000;2.700;2.000;1.800;2.100;2.200;2.200;2.600;2.300;1.400;1.507;;;
MALAWI;;;;1.400;1.670;1.660;1.500;1.500;2.200;2.300;1.500;1.540;1.700;1.900;1.800;1.937;;;
MAURITIUS;;;;4.800;5.500;6.000;6.000;5.000;6.000;4.500;9.500;10.200;10.600;10.000;11.000;12.597;;;
MOROCCO;;;;63.655;84.276;103.597;121.360;109.969;103.436;112.093;130.306;120.755;122.060;131.910;163.110;168.913;;;
NIGERIA;;;;23.000;38.000;12.000;12.000;51.000;37.000;45.000;50.000;52.000;53.900;20.000;23.000;6.999;;;
REUNION;;;;31.627;29.782;32.149;29.979;25.839;24.755;26.268;24.949;24.233;25.757;27.697;29.547;31.039;;;
SENEGAL;;;;5.500;6.500;7.000;7.000;6.000;6.000;5.500;6.000;6.000;6.800;5.800;6.600;6.516;;;
SOUTH AFRICA;;;;617.406;714.315;676.108;533.387;395.222;492.907;572.241;623.921;650.745;644.504;617.749;547.406;555.716;;;
NORTH SUDAN;;;;3.000;3.000;4.500;5.000;12.000;3.500;3.800;3.500;2.500;3.000;3.600;3.400;2.955;;;
TANZANIA;;;;3.000;3.000;3.500;3.000;3.000;3.200;4.500;6.000;6.700;5.800;5.200;4.500;5.358;;;
TUNISIA;;;;33.000;38.000;39.000;43.000;47.000;59.000;47.500;49.000;47.000;50.900;48.500;50.800;47.359;;;
UGANDA;;;;4.000;4.500;4.000;3.500;3.500;3.500;4.000;4.500;5.000;4.900;3.100;4.000;4.337;;;
ZAMBIA;;;;2.950;3.480;3.560;3.600;4.000;3.000;3.000;3.500;4.000;4.000;3.400;3.200;4.862;;;
ZIMBABWE;;;;12.000;11.000;5.000;5.000;4.500;3.000;4.300;4.400;5.000;5.800;2.500;2.200;2.143;;;
;;;;;;;;;;;;;;;;;;;
ALL COUNTRIES;;;;65.917.932;68.347.350;71.557.035;68.308.254;65.562.665;74.958.974;78.157.371;82.116.462;85.594.307;88.325.620;89.707.322;93.905.634;96.804.390;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
