LISTADO ACIDENTES DONDE INTERVIENEN BICICLETAS MENSUAL;;;;ENERO  - MAYO 2017;;;

Fecha;TRAMO HORARIO;Nm Tot Victimas;DISTRITO;Lugar;Numero;Tipo Accidente;Tipo Vehiculo
13/02/2017 0:00;DE 19:00 A 19:59;1;TETUAN                        ;CALLE DE LOS ALGODONALES                                                                          ;10;CAÍDA BICICLETA                         ;BICICLETA  
14/02/2017 0:00;DE 8:00 A 8:59;1;CENTRO                        ;CALLE DE ALCALA                                                                                   ;51;COLISIÓN DOBLE                          ;BICICLETA  
14/02/2017 0:00;DE 9:00 A 9:59;1;SALAMANCA                     ;CALLE DEL ALCALDE SAINZ DE BARANDA                                                                ;92;COLISIÓN DOBLE                          ;BICICLETA  
14/02/2017 0:00;DE 16:00 A 16:59;1;MONCLOA-ARAVACA               ;PASEO DE LA PUERTA DEL ANGEL                                                                      ;3;CAÍDA BICICLETA                         ;BICICLETA  
14/02/2017 0:00;DE 21:00 A 21:59;1;SAN BLAS                      ;ACCESO A LA AUTOVIA M-40 - AVENIDA DE CANILLEJAS A VICALVARO                                        ;;COLISIÓN DOBLE                          ;BICICLETA  
15/02/2017 0:00;DE 8:00 A 8:59;1;CHAMARTIN                     ;CALLE DE SERRANO                                                                                  ;103;CAÍDA BICICLETA                         ;BICICLETA  
15/02/2017 0:00;DE 9:00 A 9:59;1;CIUDAD LINEAL                 ;CALLE DE MALMOE - PLAZA DE ALSACIA                                                                  ;;COLISIÓN DOBLE                          ;BICICLETA  
16/02/2017 0:00;DE 7:00 A 7:59;1;FUENCARRAL-EL PARDO           ;CALLE DE NUESTRA SEÑORA DE VALVERDE                                                               ;45;COLISIÓN DOBLE                          ;BICICLETA  
16/02/2017 0:00;DE 8:00 A 8:59;1;MONCLOA-ARAVACA               ;CALLE DEL MIRADOR DE LA SIERRA                                                                    ;12;COLISIÓN DOBLE                          ;BICICLETA  
17/02/2017 0:00;DE 13:00 A 13:59;1;SAN BLAS                      ;AUTOVIA  M-40 - AVENIDA DE CANILLEJAS A VICALVARO                                                   ;;COLISIÓN DOBLE                          ;BICICLETA  
18/02/2017 0:00;DE 13:00 A 13:59;1;HORTALEZA                     ;AVENIDA DE NICETO ALCALA ZAMORA - CALLE DE ARIADNA                                                  ;;COLISIÓN DOBLE                          ;BICICLETA  
18/02/2017 0:00;DE 16:00 A 16:59;1;CARABANCHEL                   ;AVENIDA DE LOS POBLADOS - CALLE DE LAS CERILLERAS                                                   ;;CAÍDA BICICLETA                         ;BICICLETA  
19/02/2017 0:00;DE 13:00 A 13:59;1;FUENCARRAL-EL PARDO           ;CARRETERA DE PARDO A FUENCARRAL KM.                                                                 ;7;CAÍDA BICICLETA                         ;BICICLETA  
19/02/2017 0:00;DE 13:00 A 13:59;1;CHAMBERI                      ;CALLE DE SANTA FELICIANA                                                                          ;6;ATROPELLO                               ;BICICLETA  
19/02/2017 0:00;DE 20:00 A 20:59;1;TETUAN                        ;AVENIDA DE ASTURIAS - CALLE DE SINESIO DELGADO                                                      ;;COLISIÓN DOBLE                          ;BICICLETA  
20/02/2017 0:00;DE 23:00 A 23:59;1;CARABANCHEL                   ;CALLE DE ZAIDA - CALLE DEL ARROYO VALDECELADA                                                       ;;COLISIÓN DOBLE                          ;BICICLETA  
22/02/2017 0:00;DE 19:00 A 19:59;1;MONCLOA-ARAVACA               ;PASEO DE CAMOENS Y VALERO                                                                           ;;COLISIÓN DOBLE                          ;BICICLETA  
24/02/2017 0:00;DE 19:00 A 19:59;1;CHAMBERI                      ;CALLE DE GUZMAN EL BUENO - CALLE DEL GENERAL ASENSIO CABANILLAS                                     ;;COLISIÓN DOBLE                          ;BICICLETA  
25/02/2017 0:00;DE 10:00 A 10:59;1;VILLA DE VALLECAS             ;AVENIDA DE LA GAVIA - AVENIDA DEL CERRO MILANO                                                      ;;COLISIÓN DOBLE                          ;BICICLETA  
25/02/2017 0:00;DE 14:00 A 14:59;1;VILLAVERDE                    ;PASEO DE ALBERTO PALACIOS                                                                         ;34;ATROPELLO                               ;BICICLETA  
25/02/2017 0:00;DE 16:00 A 16:59;1;RETIRO                        ;PARQUE DEL RETIRO                                                                                   ;;CAÍDA BICICLETA                         ;BICICLETA  
25/02/2017 0:00;DE 23:00 A 23:59;1;CENTRO                        ;PLAZA DE LA PUERTA DEL SOL                                                                        ;1;CHOQUE CON OBJETO FIJO                  ;BICICLETA  
27/02/2017 0:00;DE 10:00 A 10:59;1;CHAMBERI                      ;CALLE DE ZURBANO - PASEO DE EDUARDO DATO                                                            ;;COLISIÓN DOBLE                          ;BICICLETA  
28/02/2017 0:00;DE 17:00 A 17:59;1;SALAMANCA                     ;CALLE DE GOYA - CALLE DE SERRANO                                                                    ;;CAÍDA BICICLETA                         ;BICICLETA  
28/02/2017 0:00;DE 19:00 A 19:59;1;RETIRO                        ;AVENIDA DE MENENDEZ PELAYO                                                                        ;38;CAÍDA BICICLETA                         ;BICICLETA  
28/02/2017 0:00;DE 19:00 A 19:59;1;CARABANCHEL                   ;CALLE DE CARCASTILLO                                                                              ;25;COLISIÓN DOBLE                          ;BICICLETA  
28/02/2017 0:00;DE 19:00 A 19:59;1;SAN BLAS                      ;AVENIDA DE ARCENTALES - CALLE DE MIGUEL YUSTE                                                       ;;COLISIÓN DOBLE                          ;BICICLETA  
28/02/2017 0:00;DE 19:00 A 19:59;1;CHAMARTIN                     ;CALLE DE LOS CONDES DEL VAL                                                                       ;11;CAÍDA BICICLETA                         ;BICICLETA  
28/02/2017 0:00;DE 20:00 A 20:59;1;RETIRO                        ;CALLE DE LOPE DE RUEDA - CALLE DE O'DONNELL                                                         ;;CAÍDA BICICLETA                         ;BICICLETA  
01/03/2017 0:00;DE 9:00 A 9:59;1;HORTALEZA                     ;CARRETERA DE CANILLAS                                                                             ;10;CAÍDA BICICLETA                         ;BICICLETA  
02/03/2017 0:00;DE 8:00 A 8:59;1;CENTRO                        ;CALLE DE SAN BERNARDO                                                                             ;59;CAÍDA BICICLETA                         ;BICICLETA  
03/03/2017 0:00;DE 14:00 A 14:59;1;CHAMBERI                      ;CALLE DE RAIMUNDO FERNANDEZ VILLAVERDE                                                            ;30;CAÍDA BICICLETA                         ;BICICLETA  
03/03/2017 0:00;DE 19:00 A 19:59;1;PUENTE DE VALLECAS            ;AVENIDA DE LAS GLORIETAS                                                                          ;14;CAÍDA BICICLETA                         ;BICICLETA  
05/03/2017 0:00;DE 15:00 A 15:59;1;CHAMBERI                      ;CALLE DE GENOVA - PLAZA DE ALONSO MARTINEZ                                                          ;;CAÍDA BICICLETA                         ;BICICLETA  
06/03/2017 0:00;DE 12:00 A 12:59;1;CARABANCHEL                   ;CALLE DE LA OCA - CALLE DE RAMON SAINZ                                                              ;;COLISIÓN DOBLE                          ;BICICLETA  
07/03/2017 0:00;DE 11:00 A 11:59;1;VILLAVERDE                    ;CALLE DE SAN NORBERTO                                                                             ;8;COLISIÓN DOBLE                          ;BICICLETA  
07/03/2017 0:00;DE 18:00 A 18:59;1;FUENCARRAL-EL PARDO           ;CARRETERA DE EL PARDO                                                                             ;7;CAÍDA BICICLETA                         ;BICICLETA  
07/03/2017 0:00;DE 22:00 A 22:59;1;CENTRO                        ;PLAZA DE SANTA BARBARA                                                                            ;6;CAÍDA BICICLETA                         ;BICICLETA  
07/03/2017 0:00;DE 23:00 A 23:59;1;PUENTE DE VALLECAS            ;PLAZA DE LA ASAMBLEA DE MADRID                                                                      ;;COLISIÓN DOBLE                          ;BICICLETA  
08/03/2017 0:00;DE 7:00 A 7:59;1;RETIRO                        ;CALLE DE ALFONSO XII                                                                              ;52;COLISIÓN DOBLE                          ;BICICLETA  
08/03/2017 0:00;DE 13:00 A 13:59;1;CHAMBERI                      ;CALLE DE FERNANDO EL CATOLICO                                                                     ;25;COLISIÓN DOBLE                          ;BICICLETA  
08/03/2017 0:00;DE 23:00 A 23:59;1;CHAMBERI                      ;CALLE DE MARIA PANES - CALLE DE MODESTO LAFUENTE                                                    ;;CAÍDA BICICLETA                         ;BICICLETA  
09/03/2017 0:00;DE 15:00 A 15:59;1;ARGANZUELA                    ;CALLE DE MURCIA - CALLE DE RAFAEL DE RIEGO                                                          ;;CAÍDA BICICLETA                         ;BICICLETA  
09/03/2017 0:00;DE 16:00 A 16:59;1;MONCLOA-ARAVACA               ;CALLE DE EMERENCIANA ZURILLA - CALLE DE SAN RESTITUTO                                               ;;COLISIÓN DOBLE                          ;BICICLETA  
09/03/2017 0:00;DE 19:00 A 19:59;1;CIUDAD LINEAL                 ;CALLE DE ARTURO SORIA - CUESTA DEL SAGRADO CORAZON                                                  ;          ;COLISIÓN DOBLE                          ;BICICLETA  
09/03/2017 0:00;DE 20:00 A 20:59;1;VICALVARO                     ;AVENIDA DE LAS COMUNIDADES - BULEVAR DE JOSE PRAT                                                   ;;COLISIÓN DOBLE                          ;BICICLETA  
10/03/2017 0:00;DE 9:00 A 9:59;2;CARABANCHEL                   ;CALLE DEL GENERAL RICARDOS                                                                        ;177;COLISIÓN DOBLE                          ;BICICLETA  
10/03/2017 0:00;DE 9:00 A 9:59;1;VILLA DE VALLECAS             ;CARRETERA DE VILLAVERDE A VALLECAS KM.                                                              ;1300;COLISIÓN DOBLE                          ;BICICLETA  
10/03/2017 0:00;DE 14:00 A 14:59;2;ARGANZUELA                    ;CALLE DE SAN ALEJANDRO                                                                            ;6;COLISIÓN DOBLE                          ;BICICLETA  
10/03/2017 0:00;DE 17:00 A 17:59;1;MONCLOA-ARAVACA               ;GLORIETA DE LOS PATINES - PASEO DE LA PUERTA DEL ANGEL                                              ;;CAÍDA BICICLETA                         ;BICICLETA  
10/03/2017 0:00;DE 18:00 A 18:59;1;BARAJAS                       ;CALLE DE BUGEDO - CALLE DE TRESPADERNE                                                              ;;CAÍDA BICICLETA                         ;BICICLETA  
10/03/2017 0:00;DE 18:00 A 18:59;1;MONCLOA-ARAVACA               ;CARRIL  ANILLO VERDE CICLISTA KM.                                                                   ;43300;COLISIÓN DOBLE                          ;BICICLETA  
12/03/2017 0:00;DE 15:00 A 15:59;1;TETUAN                        ;AVENIDA DEL PRESIDENTE CARMONA - CALLE DE LOS MARTIRES DE LA VENTILLA                               ;;COLISIÓN DOBLE                          ;BICICLETA  
