day,month,year,deaths
31,MAY,2016,76
1,MAY,2017,62
2,MAY,2017,93
3,MAY,2017,73
4,MAY,2017,80
5,MAY,2017,62
6,MAY,2017,59
7,MAY,2017,87
8,MAY,2017,70
9,MAY,2017,87
10,MAY,2017,57
11,MAY,2017,69
12,MAY,2017,78
13,MAY,2017,86
14,MAY,2017,81
15,MAY,2017,85
16,MAY,2017,94
17,MAY,2017,85
18,MAY,2017,74
19,MAY,2017,77
20,MAY,2017,70
21,MAY,2017,83
22,MAY,2017,84
23,MAY,2017,68
24,MAY,2017,81
25,MAY,2017,83
26,MAY,2017,91
27,MAY,2017,88
28,MAY,2017,62
29,MAY,2017,72
30,MAY,2017,71
31,MAY,2017,78
1,MAY,2018,83
2,MAY,2018,65
3,MAY,2018,71
4,MAY,2018,67
5,MAY,2018,82
6,MAY,2018,82
7,MAY,2018,78
8,MAY,2018,83
9,MAY,2018,66
10,MAY,2018,80
11,MAY,2018,80
12,MAY,2018,81
13,MAY,2018,74
14,MAY,2018,68
15,MAY,2018,73
16,MAY,2018,59
17,MAY,2018,72
18,MAY,2018,73
19,MAY,2018,62
20,MAY,2018,65
21,MAY,2018,63
22,MAY,2018,57
23,MAY,2018,61
24,MAY,2018,38
25,MAY,2018,60
26,MAY,2018,46
27,MAY,2018,47
28,MAY,2018,29
29,MAY,2018,19
30,MAY,2018,8
31,MAY,2018,0
1,JUN,2015,68
2,JUN,2015,76
3,JUN,2015,62
4,JUN,2015,65
5,JUN,2015,82
6,JUN,2015,79
7,JUN,2015,59
8,JUN,2015,65
9,JUN,2015,66
10,JUN,2015,80
11,JUN,2015,58
12,JUN,2015,74
13,JUN,2015,76
14,JUN,2015,61
15,JUN,2015,78
16,JUN,2015,69
17,JUN,2015,87
18,JUN,2015,71
19,JUN,2015,81
20,JUN,2015,65
21,JUN,2015,79
22,JUN,2015,82
23,JUN,2015,73
24,JUN,2015,81
25,JUN,2015,66
26,JUN,2015,84
27,JUN,2015,69
28,JUN,2015,64
29,JUN,2015,61
30,JUN,2015,64
1,JUN,2016,74
2,JUN,2016,71
3,JUN,2016,70
4,JUN,2016,102
5,JUN,2016,80
6,JUN,2016,84
7,JUN,2016,74
8,JUN,2016,77
9,JUN,2016,76
10,JUN,2016,77
11,JUN,2016,97
12,JUN,2016,70
13,JUN,2016,81
14,JUN,2016,90
15,JUN,2016,66
16,JUN,2016,93
17,JUN,2016,68
18,JUN,2016,90
19,JUN,2016,77
20,JUN,2016,83
21,JUN,2016,70
22,JUN,2016,76
23,JUN,2016,67
24,JUN,2016,77
25,JUN,2016,77
26,JUN,2016,71
27,JUN,2016,85
28,JUN,2016,82
29,JUN,2016,77
30,JUN,2016,73
1,JUN,2017,75
2,JUN,2017,75
3,JUN,2017,82
4,JUN,2017,83
5,JUN,2017,78
6,JUN,2017,70
7,JUN,2017,96
8,JUN,2017,65
9,JUN,2017,61
10,JUN,2017,72
11,JUN,2017,79
12,JUN,2017,95
13,JUN,2017,80
14,JUN,2017,82
15,JUN,2017,77
16,JUN,2017,97
17,JUN,2017,80
18,JUN,2017,74
19,JUN,2017,79
20,JUN,2017,76
21,JUN,2017,75
22,JUN,2017,77
23,JUN,2017,83
24,JUN,2017,86
25,JUN,2017,88
26,JUN,2017,82
27,JUN,2017,74
28,JUN,2017,88
29,JUN,2017,62
30,JUN,2017,78
1,JUN,2018,0
2,JUN,2018,0
3,JUN,2018,0
4,JUN,2018,0
5,JUN,2018,0
6,JUN,2018,0
7,JUN,2018,0
8,JUN,2018,0
9,JUN,2018,0
10,JUN,2018,0
11,JUN,2018,0
12,JUN,2018,0
13,JUN,2018,0
14,JUN,2018,0
15,JUN,2018,0
16,JUN,2018,0
17,JUN,2018,0
18,JUN,2018,0
19,JUN,2018,0
20,JUN,2018,0
21,JUN,2018,0
22,JUN,2018,0
23,JUN,2018,0
24,JUN,2018,0
25,JUN,2018,0
26,JUN,2018,0
27,JUN,2018,0
28,JUN,2018,0
29,JUN,2018,0
30,JUN,2018,0
1,JUL,2015,71
2,JUL,2015,67
3,JUL,2015,85
4,JUL,2015,94
5,JUL,2015,63
6,JUL,2015,77
7,JUL,2015,80
8,JUL,2015,83
9,JUL,2015,82
10,JUL,2015,71
11,JUL,2015,75
12,JUL,2015,68
13,JUL,2015,87
14,JUL,2015,80
15,JUL,2015,82
16,JUL,2015,63
17,JUL,2015,79
18,JUL,2015,87
19,JUL,2015,75
20,JUL,2015,102
21,JUL,2015,76
22,JUL,2015,72
23,JUL,2015,79
24,JUL,2015,74
25,JUL,2015,70
26,JUL,2015,74
27,JUL,2015,75
28,JUL,2015,71
29,JUL,2015,68
30,JUL,2015,80
31,JUL,2015,72
1,JUL,2016,84
2,JUL,2016,75
3,JUL,2016,69
4,JUL,2016,102
5,JUL,2016,82
6,JUL,2016,103
7,JUL,2016,82
8,JUL,2016,72
9,JUL,2016,74
10,JUL,2016,77
11,JUL,2016,89
12,JUL,2016,71
13,JUL,2016,82
14,JUL,2016,84
15,JUL,2016,62
16,JUL,2016,83
17,JUL,2016,77
18,JUL,2016,84
19,JUL,2016,67
20,JUL,2016,95
21,JUL,2016,71
22,JUL,2016,58
23,JUL,2016,70
24,JUL,2016,83
25,JUL,2016,90
26,JUL,2016,91
27,JUL,2016,77
28,JUL,2016,82
29,JUL,2016,69
30,JUL,2016,70
31,JUL,2016,81
1,JUL,2017,78
2,JUL,2017,82
3,JUL,2017,82
4,JUL,2017,65
5,JUL,2017,83
6,JUL,2017,74
7,JUL,2017,71
8,JUL,2017,73
9,JUL,2017,60
10,JUL,2017,71
11,JUL,2017,74
12,JUL,2017,65
13,JUL,2017,89
14,JUL,2017,80
15,JUL,2017,76
16,JUL,2017,89
