ID_ESTACION	Fecha	Precio gasolina 95	Precio gasóleo A	Precio gasóleo B	Precio bioetanol	Precio nuevo gasóleo A	Precio biodiesel	% éster metílico	% bioalcohol	Precio gasolina 98	Precio gas natural comprimido	Precio gas natural licuado	Precio gases licuados del petróleo	
346	02/04/2017	1,279	1,139											
347	02/04/2017	1,218	1,078											
348	02/04/2017	1,259	1,143	0,779		1,203				1,374				
349	02/04/2017	1,259	1,139			1,199				1,389				
350	02/04/2017	1,229	1,119	0,779		1,159				1,309				
351	02/04/2017	1,249	1,129			1,209				1,369				
352	02/04/2017	1,247	1,114			1,199				1,389				
353	02/04/2017	1,247	1,127			1,187				1,395				
354	02/04/2017	1,249	1,119			1,179				1,389				
355	02/04/2017	1,199	1,079											
356	02/04/2017	1,248	1,120							1,389				
357	02/04/2017	1,254	1,125			1,210				1,395				
358	02/04/2017	1,239	1,119			1,209				1,375				
359	02/04/2017	1,239	1,119			1,119				1,379				
360	02/04/2017	1,239	1,099			1,189				1,375				
361	02/04/2017	1,209	1,079			1,129				1,359				
362	02/04/2017	1,254	1,125			1,210				1,395				
363	02/04/2017	1,199	1,089			1,149				1,314				
364	02/04/2017	1,139	0,969			1,078				1,260				
365	02/04/2017	1,139	0,969											
366	02/04/2017	1,155	1,035											
367	02/04/2017	1,259	1,139			1,209				1,389				
368	02/04/2017	1,279	1,149			1,229				1,389			0,621	
369	02/04/2017	1,279	1,149			1,229				1,389				
370	02/04/2017	1,239	1,099			1,189				1,375				
371	02/04/2017	1,166	1,047			1,098				1,260				
372	02/04/2017	1,269	1,139			1,219								
373	02/04/2017	1,129	1,029											
374	02/04/2017	1,239	1,119			1,209				1,375				
375	02/04/2017	1,233	1,097			1,167				1,363				
376	02/04/2017	1,239	1,129			1,219				1,369				
377	02/04/2017	1,249	1,129			1,219				1,369				
378	02/04/2017	1,259	1,139			1,219				1,399				
379	02/04/2017	1,255	1,135	0,798		1,195				1,389				
380	02/04/2017	1,239	1,119			1,169				1,349				
381	02/04/2017	1,259	1,139			1,199				1,369				
382	02/04/2017		1,129	0,798										
383	02/04/2017	1,254	1,134			1,199				1,379				
384	02/04/2017	1,249	1,129			1,189				1,389				
385	02/04/2017	1,253	1,139	0,779		1,199								
386	02/04/2017	1,254	1,125			1,210				1,395				
387	02/04/2017	1,259	1,134			1,194				1,369				
388	02/04/2017	1,249	1,129	0,809		1,200				1,379				
389	02/04/2017	1,259	1,139	0,819		1,219								
390	02/04/2017	1,269	1,139			1,219				1,379				
391	02/04/2017	1,245	1,118			1,199				1,379				
392	02/04/2017	1,198	1,081			1,151				1,328				
393	02/04/2017	1,189	1,076			1,136				1,304				
394	02/04/2017	1,249	1,136			1,196				1,364				
395	02/04/2017	1,259	1,119			1,199				1,399				
396	02/04/2017	1,259	1,119			1,199				1,399				
397	02/04/2017	1,149	1,039											
398	02/04/2017	1,259	1,119											
399	02/04/2017	1,139	1,029											
400	02/04/2017	1,159	1,049											
401	02/04/2017	1,199	1,089			1,149				1,314				
402	02/04/2017	1,219	1,109			1,159				1,359				
403	02/04/2017	1,219	1,109			1,159				1,369				
404	02/04/2017	1,249	1,135			1,185				1,389				
405	02/04/2017	1,249	1,135			1,195				1,389				
406	02/04/2017	1,294	1,174			1,260				1,437				
407	02/04/2017	1,269	1,119			1,199								
408	02/04/2017	1,249	1,109			1,199								
409	02/04/2017	1,254	1,135			1,193				1,360				
410	02/04/2017	1,259	1,139			1,199				1,399			0,621	
411	02/04/2017	1,259	1,135	0,799		1,209								
412	02/04/2017	1,259	1,125			1,175				1,399				
413	02/04/2017	1,259	1,139			1,199				1,374				
414	02/04/2017	1,254	1,135											
415	02/04/2017	1,199	1,079	0,799		1,129								
416	02/04/2017	1,219	1,099			1,190				1,330				
